id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	coupon	partner_coupon_download	interest_free_event	point	installation_costs	pre_match_code	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender
1798	주당맛집 무뼈불닭발 150g	7900			http://musicbroshop.com/goods/view?no=1798&market=naver	http://m.musicbroshop.com/goods/view?no=1798&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_78f870bff9209bd5217c5d8e4e5563613239view.jpg		브랜드	푸드																							0.00								0	3000							
1799	오세득 낙꼼새300g	10900			http://musicbroshop.com/goods/view?no=1799&market=naver	http://m.musicbroshop.com/goods/view?no=1799&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_a5bf7fd34f692cd73b1772abef07a18a1089view.jpg		브랜드	푸드																							0.00								0	3000							
1800	주당맛집 편육200g	5500			http://musicbroshop.com/goods/view?no=1800&market=naver	http://m.musicbroshop.com/goods/view?no=1800&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_fc03a01c66da91cf183d2ba47d1e03326347view.jpg		브랜드	푸드																							0.00								0	3000							
1801	오세득 제주매콤불고기350g	6900			http://musicbroshop.com/goods/view?no=1801&market=naver	http://m.musicbroshop.com/goods/view?no=1801&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_1bbc944141071aab70e75d95148ffb961041view.jpg		브랜드	푸드																							0.00								0	3000							
1802	주당맛집 낙곱새200g	7500			http://musicbroshop.com/goods/view?no=1802&market=naver	http://m.musicbroshop.com/goods/view?no=1802&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_0f7799c753d22f53a843f22d168820cf2900view.jpg		브랜드	푸드																							0.00								0	3000							
1803	주당맛집 닭갈비200g	5500			http://musicbroshop.com/goods/view?no=1803&market=naver	http://m.musicbroshop.com/goods/view?no=1803&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_81377e3d46e60f1c7819571d84c336175834view.jpg		브랜드	푸드																							0.00								0	3000							
1804	숨은맛집 닭갈비 500g(2인분)	11000			http://musicbroshop.com/goods/view?no=1804&market=naver	http://m.musicbroshop.com/goods/view?no=1804&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_42d39ab3548d30cfe83db2ab8fafe69a2590view.jpg		브랜드	푸드																							0.00								0	3000							
1805	숨은맛집 낙곱새 500g(2인분)	15500			http://musicbroshop.com/goods/view?no=1805&market=naver	http://m.musicbroshop.com/goods/view?no=1805&market=naver	http://musicbroshop.com/data/goods/22/2021/06/_tmp_4c9360bdcf9b6b608ee1e7d60eabc12f5484view.jpg		브랜드	푸드																							0.00								0	3000							
1815	브레이브 걸스 (Brave Girls) - Summer Queen (5TH 미니앨범) (랜덤버전)	14900			http://musicbroshop.com/goods/view?no=1815&market=naver	http://m.musicbroshop.com/goods/view?no=1815&market=naver	http://musicbroshop.com/data/goods/8/2021/06/1815_tmp_adc11f0cd8fe0f9cbfa2a157218cf3106574view.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1817	브레이브 걸스 (Brave Girls) - Summer Queen (5TH 미니앨범) (SET)	29800			http://musicbroshop.com/goods/view?no=1817&market=naver	http://m.musicbroshop.com/goods/view?no=1817&market=naver	http://musicbroshop.com/data/goods/8/2021/06/1817_tmp_9fc9a6cf7b5a96eb3b46c8e646f7fbe50759view.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1837	방탄소년단 - BUTTER [랜덤]	17900			http://musicbroshop.com/goods/view?no=1837&market=naver	http://m.musicbroshop.com/goods/view?no=1837&market=naver	http://musicbroshop.com/data/goods/8/2021/06/1837_tmp_e3058b2285c4d9304170869087a8c7225990view.jpg		K-POP	MUSIC	댄스															YG PLUS / HYBE 360	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1879	포토카드 세트 PHOTOCARD SET	8000			http://musicbroshop.com/goods/view?no=1879&market=naver	http://m.musicbroshop.com/goods/view?no=1879&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1879_tmp_32ccc0f471e84018394441bacb6c975f3000view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								4	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1880	엽서 세트 POST CARD SET	8000			http://musicbroshop.com/goods/view?no=1880&market=naver	http://m.musicbroshop.com/goods/view?no=1880&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1880_tmp_04641544bd5e3c6749d7c02294cc0b861256view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								2	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1881	포토카드 바인더 PHOTOCARD BINDER	20000			http://musicbroshop.com/goods/view?no=1881&market=naver	http://m.musicbroshop.com/goods/view?no=1881&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1881_tmp_40af88b9b59739179c1e90abb0ffe41c9875view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								2	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1882	그립톡 GRIP TOK	13000			http://musicbroshop.com/goods/view?no=1882&market=naver	http://m.musicbroshop.com/goods/view?no=1882&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1882_tmp_2218ca16e9a247af8c99f2bcc946532c3932view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								3	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1883	미러플립톡 MIRROR FLIP TOK	22000			http://musicbroshop.com/goods/view?no=1883&market=naver	http://m.musicbroshop.com/goods/view?no=1883&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1883_tmp_6f2d960c812d82afa25c429961a167578960view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								0	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1884	아크릴 스탠드 ACRYLIC STAND	18000			http://musicbroshop.com/goods/view?no=1884&market=naver	http://m.musicbroshop.com/goods/view?no=1884&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1884_tmp_db861f0f3906017727dfae2c5c61dfc65245view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								1	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1885	아크릴 키링 ACRYLIC KEYRING	17000			http://musicbroshop.com/goods/view?no=1885&market=naver	http://m.musicbroshop.com/goods/view?no=1885&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1885_tmp_e990ab3b3d0426054883d7eb172819606331view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								1	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1886	소주잔 세트 SOJU GLASS SET	55000			http://musicbroshop.com/goods/view?no=1886&market=naver	http://m.musicbroshop.com/goods/view?no=1886&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1886_tmp_f36027d379fc8612b5dcee4190badadb9885view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								1	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1887	맥주잔 BEER GLASS	22000			http://musicbroshop.com/goods/view?no=1887&market=naver	http://m.musicbroshop.com/goods/view?no=1887&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1887_tmp_840f57c08d10ce61395bf5c2d195c1227979view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								0	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1888	실리콘 병따개 BOTTLE OPENER	12000			http://musicbroshop.com/goods/view?no=1888&market=naver	http://m.musicbroshop.com/goods/view?no=1888&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1888_tmp_622aa812b7d3768e2754255b376c88be4562view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								0	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1889	석고 방향제 GYPSUM AIR FRESHENER	20000			http://musicbroshop.com/goods/view?no=1889&market=naver	http://m.musicbroshop.com/goods/view?no=1889&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1889_tmp_c76a2c23a659cc0ecc8dd53ff66b00271854view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								1	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1890	안경닦이 GLASSES CLOTH	7000			http://musicbroshop.com/goods/view?no=1890&market=naver	http://m.musicbroshop.com/goods/view?no=1890&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1890_tmp_121d0c54116de6a3f4ae5a31ce07126d2533view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								7	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1891	무선 충전 거치대 WIRELESS CHARGER	50000			http://musicbroshop.com/goods/view?no=1891&market=naver	http://m.musicbroshop.com/goods/view?no=1891&market=naver	http://musicbroshop.com/data/goods/24/2021/07/1891_tmp_7c95c5cdb8698c93690bc05b1e9623170244view.jpg		K-POP	K-GOODS	브레이브걸스 공식 굿즈																						0.00								0	3500	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1910	위클리(Weeekly) 미니 4집 [Play Game:Holiday]	16500			http://musicbroshop.com/goods/view?no=1910&market=naver	http://m.musicbroshop.com/goods/view?no=1910&market=naver	http://musicbroshop.com/data/goods/8/2021/07/1910_tmp_eb33aea2dfe7be60c0aa72a4dd6d66aa1732view.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1944	브레이브 걸스 (Brave Girls) - After ‘We Ride’ (5TH 미니앨범 리패키지)	16300			http://musicbroshop.com/goods/view?no=1944&market=naver	http://m.musicbroshop.com/goods/view?no=1944&market=naver	http://musicbroshop.com/data/goods/8/2021/08/1944_tmp_14892b222eff3bfa46ae279faeeadbb08838view.jpeg		K-POP	MUSIC	댄스														브레이브 엔터테인먼트	KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1960	백아연 - Observe (5TH 미니앨범)	11900			http://musicbroshop.com/goods/view?no=1960&market=naver	http://m.musicbroshop.com/goods/view?no=1960&market=naver	http://musicbroshop.com/data/goods/8/2021/08/1960_tmp_0754334aa433dc3f88b7596b7bf8aae76288view.jpg		K-POP	MUSIC	R&B/SOUL															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1961	넬 (NELL) - 9집 [MOMENTS IN BETWEEN]	19400			http://musicbroshop.com/goods/view?no=1961&market=naver	http://m.musicbroshop.com/goods/view?no=1961&market=naver	http://musicbroshop.com/data/goods/8/2021/08/1961_tmp_fa804fde1d91f5bfc99e63e091ae853e0358view.jpg		K-POP	MUSIC	R&B/SOUL															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1972	원호 - Blue letter (2ND 미니앨범) 랜덤	16500			http://musicbroshop.com/goods/view?no=1972&market=naver	http://m.musicbroshop.com/goods/view?no=1972&market=naver	http://musicbroshop.com/data/goods/8/2021/08/1972_tmp_8ae9e7022455e68998ce838fbb4edbe35688view.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1974	리사 (LISA) - LISA FIRST SINGLE ALBUM LALISA (BLACK ver)	16500			http://musicbroshop.com/goods/view?no=1974&market=naver	http://m.musicbroshop.com/goods/view?no=1974&market=naver	http://musicbroshop.com/data/goods/8/2021/08/1974_tmp_e7da7f3ccb513e0c8595237eaf155f3f5345view.jpg		K-POP	MUSIC	댄스															(주)YG엔터테인먼트	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1975	리사 (LISA) - LISA FIRST SINGLE ALBUM LALISA (GOLD ver)	16500			http://musicbroshop.com/goods/view?no=1975&market=naver	http://m.musicbroshop.com/goods/view?no=1975&market=naver	http://musicbroshop.com/data/goods/8/2021/08/1975_tmp_b40c1ae0f1eceb9ec44a1b3f0fbf6b664189view.jpg		K-POP	MUSIC	댄스															(주)YG엔터테인먼트	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1984	MCND - THE EARTH: SECRET MISSION Chapter.1 (3RD 미니앨범) 랜덤버전	17900			http://musicbroshop.com/goods/view?no=1984&market=naver	http://m.musicbroshop.com/goods/view?no=1984&market=naver	http://musicbroshop.com/data/goods/1/2021/09/1984_2021090610042815.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
1989	아이유 (IU) - 5집 [LILAC] 랜덤버전	19400			http://musicbroshop.com/goods/view?no=1989&market=naver	http://m.musicbroshop.com/goods/view?no=1989&market=naver	http://musicbroshop.com/data/goods/1/2021/09/1989_2021090710210814.jpeg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
2044	이펙스 (EPEX) - 2nd EP Album [Bipolar Pt.2 사랑의 서] (버전랜덤)	16400			http://musicbroshop.com/goods/view?no=2044&market=naver	http://m.musicbroshop.com/goods/view?no=2044&market=naver	http://musicbroshop.com/data/goods/1/2021/10/2044_2021100510271317.jpg		K-POP	MUSIC	댄스															지니뮤직, 스톤뮤직엔터테인먼트	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
2051	이진혁 - Ctrl+V (4TH 미니앨범)	17900			http://musicbroshop.com/goods/view?no=2051&market=naver	http://m.musicbroshop.com/goods/view?no=2051&market=naver	http://musicbroshop.com/data/goods/8/2021/10/2051_tmp_fd3d0bef895571169840748d162eefa63510view.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
2061	저스트비 (JUST B) - JUST BEAT	13400			http://musicbroshop.com/goods/view?no=2061&market=naver	http://m.musicbroshop.com/goods/view?no=2061&market=naver	http://musicbroshop.com/data/goods/8/2021/10/2061_tmp_2da6d547b801ff5d0ecbdd3485db6f767123view.jpg		K-POP	MUSIC	댄스															(주)엔에이치엔벅스	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
2062	씨엔블루 (CNBLUE) - WANTED (9TH 미니앨범)	17100			http://musicbroshop.com/goods/view?no=2062&market=naver	http://m.musicbroshop.com/goods/view?no=2062&market=naver	http://musicbroshop.com/data/goods/8/2021/10/2062_tmp_763c00c956efe531ecbfd30a07dfa9e92532view.jpg		K-POP	MUSIC	댄스															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
2074	박지훈 - HOT&COLD (5TH 미니앨범) 랜덤버전	17900			http://musicbroshop.com/goods/view?no=2074&market=naver	http://m.musicbroshop.com/goods/view?no=2074&market=naver	http://musicbroshop.com/data/goods/8/2021/10/2074_tmp_b019da9fba004dcbaade681833d06e3c3287view.jpg		K-POP	MUSIC	댄스															(주)엔에이치엔벅스	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
2080	다크비 (DKB) - ROLLERCOASTER (1ST 싱글앨범)	10500			http://musicbroshop.com/goods/view?no=2080&market=naver	http://m.musicbroshop.com/goods/view?no=2080&market=naver	http://musicbroshop.com/data/goods/8/2021/10/2080_tmp_7fdc7e0f8200feefa227ee0f7a8c227f6720view.jpg		K-POP	MUSIC	댄스															(주)지니뮤직	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
2113	화사 - Guilty Pleasure	17900			http://musicbroshop.com/goods/view?no=2113&market=naver	http://m.musicbroshop.com/goods/view?no=2113&market=naver	http://musicbroshop.com/data/goods/8/2021/11/2113_tmp_aa149cced8eb3bed88004ff2859fd5f32442view.jpg		K-POP	MUSIC	POP															KAKAO ENTERTAINMENT	대한민국(한국, 남한)						0.00								0	3000	Y	지역별 배송비 최대 8,000&#x20a9; 추가					
