0914-102606.264 - 25133 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513340817542]
0914-102606.269 - 25133 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102606.281 - 25133 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102606.377 - 25133 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102606.378 - 25133 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260710820844amount=7500auth_no=588820939tran_date=20220914102607]
0914-102606.760 - 25135 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513331517541]
0914-102606.765 - 25135 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102606.777 - 25135 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102606.874 - 25135 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102606.876 - 25135 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260710820858amount=7500auth_no=588820940tran_date=20220914102607]
0914-102607.142 - 25137 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513321417540]
0914-102607.147 - 25137 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102607.158 - 25137 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102607.252 - 25137 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102607.254 - 25137 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260810820866amount=7500auth_no=588820941tran_date=20220914102608]
0914-102607.498 - 25140 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513312817539]
0914-102607.502 - 25140 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102607.514 - 25140 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102607.652 - 25140 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102607.654 - 25140 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260810820878amount=7500auth_no=588820942tran_date=20220914102608]
0914-102607.917 - 25142 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513304117538]
0914-102607.922 - 25142 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102607.933 - 25142 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102608.018 - 25142 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102608.020 - 25142 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260810820886amount=7500auth_no=588820943tran_date=20220914102608]
0914-102608.277 - 25144 - GA0008739EFmoqMp     - MSG : START - tr_cd=[00201050]+mall_id=[GA000873]+order_no=[2022090513293617537]
0914-102608.282 - 25144 - GA0008739EFmoqMp     - MSG : PG_서버_접속__정상
0914-102608.294 - 25144 - GA0008739EFmoqMp     - MSG : PG_서버_요청_전문_전송__정상
0914-102608.375 - 25144 - GA0008739EFmoqMp     - MSG : PG_서버_응답_전문_수신__정상
0914-102608.376 - 25144 - GA0008739EFmoqMp     - MSG : ENDED - res=[res_cd=0000res_msg=현금 영수증 정상 발급cno=22091410260910820899amount=7500auth_no=588820944tran_date=20220914102609]
